protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
14-3-3 protein theta,4.84645225092824,5.20849397565919,5.3308915711566,5.2100617934955,4.81101409236338,5.35678151211579,5.06256598753566,5.10118414884078,5.03142944304035,5.24346079802739,4.99311493521758,5.1760526497367,5.15670522520905,5.32515107068941,5.18400394518302,5.33808995707108,5.10277944505809,4.9206035492102,5.12630082969878,5.21334721427612,5.10695499169162,5.13867265317123,5.05628225493389,5.2551919470342,5.2978377482621,5.3693793923588,5.19910084871314,4.72721302038223,5.29262759715591,4.91038746328921,4.82177171491989,5.33689076078459,5.30416558799619,5.43344127991217,5.34034623441167,5.3001953809569,4.9350382067041,5.34269362934507,5.25711616706625,4.62644743399145,5.05233654436729,5.344295894099,5.21114816870113,5.08031074055717,5.02781604299758,5.15798780969533,5.23436655103874,5.22098669455372,5.06811865836989,5.36312402142257,5.21587126748746,4.94767956489078,5.01666683107838,4.94676072894351,4.81894924169636,5.32033598365014,5.05626313328714,5.1960580507874,5.18866592267995,5.29041356412195,4.90902853671715,5.14527627073749,5.04645204658367,5.29585400095894,4.59134752145579,5.29899376687905,5.07821527915297,5.40852768729846,4.90124460016846,5.27158929534353,4.94796813604629,5.4571019803252
14-3-3 protein zeta/delta,6.19245551011802,6.39518429816731,6.19607023871053,6.33221839319748,5.93049994495231,6.53339780392702,5.88898627155729,6.13329017540642,6.15797019297666,6.34440139907583,6.15023985468536,6.00764611131433,6.18626030325051,6.38087707001815,6.18227068957775,6.43088586337937,6.07830724669472,6.30878568869848,6.16604582619629,6.367790317045,6.23817587942915,6.18957596142871,5.99926027447645,6.21512330393924,6.54275519704334,6.34799481190851,6.01502346563007,6.57832235199981,6.46794645227146,6.44506978071458,6.25332130865802,6.55986936630198,6.27278902595272,5.90659386539767,6.12912532678434,6.61692361301884,5.89585059376245,6.60877299938052,6.045614217713,5.5688481765857,6.23438226491331,6.59970474889246,5.86593891598407,6.26223511040761,6.35515072019989,6.52908070650201,6.50518063532878,6.37563571303067,6.11106234925552,6.32476500957341,6.22173775942329,6.24231100638935,6.03187044629416,6.33156792552169,5.79009936621812,6.13539885827396,6.75143186951177,6.18693004093545,6.29213411289096,6.2428278136188,6.01524808499325,6.31435091439497,6.40157666391505,5.91864729677675,6.06708202476056,6.41295245470687,6.3306696077843,6.2916885212061,5.90012308089255,6.51116336578493,6.13147084018297,6.37298706395248
2-5-oligoadenylate synthase 2,4.30943305624377,4.49901363488092,3.84285162636316,4.75070170541734,4.45431204465072,4.3064436546195,3.99319002387295,4.72337759119083,4.51652464508775,4.69162916435609,4.2970707021242,4.74853095518393,4.49832476728483,4.47350788427401,3.99779244429177,5.02856520632847,3.88710181270081,4.43148762928437,4.10488269068117,5.02894677014023,4.56368156848004,4.33864126584951,4.12395436197948,5.11886357851124,4.31658851608115,4.42724044369224,3.61918048543516,5.05645177759556,4.44521300217355,4.61854457732408,3.96781812158864,5.01896218719511,4.39240755699975,4.59889830990501,3.75511226046483,4.96845755302258,4.62397977571383,4.31796914912698,3.82792729548266,4.79764840707705,4.71673943123405,4.234911492228,3.85122828132936,4.94143707485246,4.82814511166303,4.27035198979677,3.82225048952394,4.71399891842669,4.63712599585889,4.56825610085374,3.721563598058,4.82727218471824,4.76172899064987,4.23071146987919,4.14191125192741,4.71362743362294,4.65425316510213,4.26115495706997,3.6769633487051,4.81603215128616,4.93664743333174,4.22477690810914,3.83142424212578,4.7302142710729,4.76728624426725,4.19211268992694,3.73517442824431,4.84052854829228,4.6568479111695,4.17740021384748,4.08709304183206,4.7948088378159
2-5-oligoadenylate synthase 3,3.25973174221872,3.53902954571406,3.04811537251546,4.0951491945403,3.45807133916843,3.2254835696469,3.18805201415462,3.6812761643631,3.30440176034698,3.27058496670927,3.16267009919253,3.56918819223126,3.60220554693677,3.56616206052663,2.91387186961344,4.09448454367759,3.63445196246424,3.07983821295682,2.74121463248847,4.21218748973704,3.76480966706453,3.76280616240985,2.5061361603445,4.00216817716188,3.7362621033397,3.31336630201818,3.23725688601463,3.42662362095274,3.03829283181325,3.45711154718411,3.31479414879139,3.72525193305042,3.57041294996328,3.44370446813246,3.07578126671548,3.83410532712516,3.5676475761767,3.21822442893746,2.87826529396478,3.96284058885227,3.15849726155864,3.12308652016459,3.34405895653217,3.91235684050444,3.39033221831485,3.41985669230034,3.17738074428402,3.85117904266225,3.47567378049612,3.40082221451316,2.67725432966965,3.82698253634925,3.487126542983,3.71547421477125,3.29833302985308,4.15782355843717,3.65183145107499,3.18035651395388,2.76207919366843,4.15184149462436,3.50628446885904,3.24912724381154,2.99748407521297,3.51920136632946,3.57586698523099,3.11605446468777,3.41540249977839,3.83958831195215,3.40110363167249,3.45615009026244,3.02889780376987,3.96904703003582
"2-oxoglutarate dehydrogenase, mitochondrial",2.96491135781166,3.33022739859463,3.23272326106161,2.98535384453289,2.99788485993892,3.36710561705924,3.31116561739487,2.93352100848264,3.06512966932926,2.92844971969643,2.6577192568657,3.05298058640601,3.0981285659556,3.01709531317398,2.93620425071048,3.35645684228966,2.63349628402471,3.35119137090082,3.36891718127111,3.0131410854356,3.0087125166035,2.96244060818326,3.40257960988174,3.62573520889937,3.57723025340248,2.84578393338775,2.58399205608782,3.62731885329074,3.66708079721928,3.41698615120504,2.90713017576605,3.59582766767486,3.61412451884667,2.2039767664093,3.05783477491794,2.31064076456981,2.07754232130686,3.47151008433448,3.19457865673534,3.14388266132717,2.86429677006108,3.43766164283998,3.14179666275673,3.37678212611536,3.16047534958702,3.04675947924125,3.0196692337443,2.97593440849352,3.04062887099313,3.20899565448657,3.29759477435873,2.78047869554603,3.12098039143975,3.15724359083364,3.21386957867323,2.31089112329256,3.00023797773566,3.49034280820201,3.06126679863167,2.86716188916707,2.65104003560947,2.879259863945,3.46945856202475,3.21095115882394,3.32437087694977,2.84422876877366,3.38753460638497,2.877615113942,2.77475413305368,3.20520176304402,3.03740014104956,2.85715847715647
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",2.65441695980615,2.70757583723835,2.7430825209827,2.75856728593128,1.84813919070133,2.14248036137493,2.16402321647922,2.10556129638045,2.17950140907355,2.44938056882822,2.56871163671723,2.74316063744332,3.46175432249076,1.76557158010692,2.0036018590235,3.23012606823351,3.14124313856301,3.6383403979646,1.98462480545433,1.95764730076108,2.88662222936285,1.74551498031251,0.79140021969508,1.74487829462664,3.27456023521185,1.62487434414127,0.970788073514215,2.41482170033448,3.6548068252896,1.49744274118387,2.52869234494871,2.68340902418695,3.86151274460507,2.4781034375381,2.58231504193052,2.55772702348811,2.78777361360175,1.76436155902123,2.43489740922605,2.7456574948155,2.32691697914446,2.1657689301242,2.69612473557741,2.46255372942478,2.32231278125674,1.53771392237039,2.32184209625636,2.11068773479158,2.24789284083869,1.88457444793885,2.38304783410671,1.92284134154598,2.13809212051626,2.08049518772399,2.67099566733069,2.28183302361319,2.18871470869318,2.01640956809222,2.68594497355617,2.34460539861366,2.92753433712707,1.83919803102142,2.41936745469816,1.84705850383681,2.17851656931966,2.46327848569763,2.18246488837488,1.35901216861462,2.98401337822959,2.20869685462097,3.40817721994995,2.10864591654465
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",2.89483562417599,2.56944740678691,3.17938927886874,2.8122657409884,1.96310239201493,2.48051145953619,3.27174558451954,2.51512105487576,3.18040812307457,3.09474969685679,3.22576676977486,2.77183203034213,1.99532731831355,2.76627363948905,2.73008351953214,2.89818583513955,2.67008703338667,2.84109413739154,2.99221428339976,2.91130681168855,2.98841144675605,2.55042762075938,3.15985533966845,2.94252637861068,3.25228321566634,1.12113208673411,3.09904160844233,3.20523023636689,3.18969080403721,1.12113208673411,3.43183472619284,3.26335136814507,3.53632476591687,1.12113208673411,3.38576675236222,3.6681149069587,2.87439571873389,3.01827511510044,2.49980889593271,2.44835433824991,2.62745036942004,2.58283592347749,2.60927320717879,2.46956982492254,2.81747534741169,2.91198087430573,2.83188137580161,2.54966598284075,3.19185656379279,3.04603417363428,2.47204851050254,2.59717238906554,3.16571273601243,2.38095008169894,3.49725666067267,3.26831029416488,1.89637818287568,2.9466688605707,1.51535436745655,2.54795689553141,3.29237304025041,3.05124574361373,3.47866223415695,2.59834698826555,3.00535868770947,2.50048629014401,2.51920520631969,2.91878229511252,2.97614513562828,2.49153676083898,2.97071481050605,3.07567988007611
"2,4-dienoyl-CoA reductase, mitochondrial",4.48007550413303,4.89855335732292,4.71130386982919,4.44572385982194,4.55859861862898,4.76233383604252,4.02663958816482,4.73293943545883,4.56948461080744,4.88209615951754,4.33693593545717,4.69221327155047,4.64860092626882,4.97045660096708,4.8298852253491,4.36152989280162,4.72117729473733,4.48622843244725,4.82541701210072,4.50319272208291,4.29909847010314,4.86114968844631,4.49737609080955,4.91693820850897,4.36968035733594,4.50706816936246,4.56099010143574,4.62334072331752,4.3363313981282,4.55794227540545,4.55618007911362,4.57428549850679,4.3412936960643,4.59222265689404,4.4975646794096,4.68968594580581,3.81909064835641,4.43862489906857,4.79644223789153,4.55763725942347,4.43689421791742,4.71154859128251,4.33858463363957,4.55980364223072,4.52478409812309,4.67179443310778,4.71952567709125,4.88352558763962,3.77227200621515,4.46450215795757,4.46979857666582,4.67025474025475,4.40456354192155,4.60384376354875,4.5346531453284,4.79065210197935,4.40250927787574,4.66044257738703,4.69503969909858,4.6155395806406,4.37351004039476,4.61279712332798,4.60794509385657,4.46378347757152,4.35857155634095,4.55287220532087,4.63570833435877,4.6185961131241,4.43411299887752,4.4820575611854,4.46375347224858,4.79831634285971
26S protease regulatory subunit 10B,3.70433815043142,3.66499681666044,3.49280513830197,3.25505100509839,3.68632033347908,3.45206785790257,3.37364699515211,2.87376153248621,3.376278280149,3.65011091072828,5.35962684215104,5.20005391050849,2.34212516457152,3.44215241413833,4.72875387484431,4.63936893351679,2.0997650360434,2.51791522234819,4.74108206710772,4.6463806905386,3.33539500447606,2.72325580043572,4.73333825386639,3.55026181981449,3.4103909427207,4.11850153091367,4.13217547860883,2.93594221389619,3.96220825369866,4.02953229374992,3.41234154487665,3.43911627263852,3.38755804622948,3.95361951929939,4.06505879136455,3.50911543999238,3.51325516498715,3.65725322816432,4.09259195162976,3.88350777417443,2.75706631789245,4.07218877491657,3.85235369999095,3.97517335106379,3.57837448278979,4.17293226413133,4.06086837945084,4.08110018740788,3.73357682441623,4.00560947424076,4.02582081118282,3.90310171275275,3.78173950529894,3.96312569337977,3.53127488102786,3.91824850664315,2.87872058439639,3.97915468100777,3.90388909471869,3.49202825675935,4.2816878715974,3.33230223526807,3.59128450599991,3.56844435885178,4.12865117936348,4.00768184123812,2.87880718645644,3.67137833185845,4.22924614230084,3.46467059311086,2.63902190899646,3.16324242800417
26S protease regulatory subunit 4,3.76218012198516,3.97088215696594,3.93611777227447,4.06372100612774,3.69420105688074,4.09439101757768,3.9729134568166,3.74483744229836,3.60679787429306,3.85728238457888,3.83812308954427,4.08344659081731,3.89447583874428,3.88967429227881,4.20939059265797,4.11254982079716,3.83249419219027,3.96263383359604,4.10069738948887,3.97992849247485,3.29046406785038,3.93281142871027,3.89337867081558,4.14667706920394,4.21659561720476,4.22995658232928,4.43113359758486,3.91334294805784,3.97818898509283,2.81642436067465,3.92712616958114,4.36963545327762,4.34039824035752,3.75612406540603,4.0032264871508,4.31364387575882,3.51592015008108,3.96136021197413,3.7029659002426,4.09195146517182,4.3615009673041,3.72661829108513,3.85542184130766,3.91209602738253,3.6629237387998,3.86945281228337,3.79072489454304,4.21607301659804,3.82316447068374,3.83649391987037,3.8598153285219,3.84838987638971,3.84489712614763,4.0073677554757,4.20412195799866,3.73614111885643,3.78206507163701,3.97503766356575,3.74935881732537,3.84036627253631,4.03639081845827,3.94363316116395,3.94954935106682,3.8840886637814,4.09544147798037,4.09914157097541,4.10649900425595,3.81575016853219,3.88749923404196,4.1289744779365,3.98364139462367,3.08634298781736
26S protease regulatory subunit 6A,3.48379154169635,3.61388513453047,3.43507605610478,3.28406016140017,3.66796874610372,3.67959385642751,3.66788176624475,3.83382357877568,3.53747000621417,3.73414914243182,3.38894295753763,3.57589485181821,3.56996443290037,3.86444328799696,4.34749292144176,2.72851606487643,4.07201815391444,3.95920267043674,3.90519843792235,3.90711876803129,4.31229134405466,3.60524697042312,3.88872546318965,3.79151460857343,4.41417948437051,3.19470797281547,3.94428734999928,4.3759214580077,3.88945446605388,3.90972479234893,4.01664332253116,4.01289497459293,1.86695518628998,3.01360603189101,4.32251604743735,4.34004848317948,3.89701482527002,3.60861074113504,3.57067367039691,3.6689956103667,3.34840879900961,4.12267291650536,3.93445057456491,3.80875986755297,3.58943499480699,3.06696889355408,3.61327562476487,4.43241953741285,3.74364052250655,3.65592013369631,3.23617465795747,3.53548688307673,3.45071954424281,3.82084573141967,3.75818521425934,3.97625648455255,3.49186021571898,3.6083375620516,3.30540621784008,4.09814277034237,3.50111653948335,3.65544746355986,3.63079859156931,3.7343767117219,3.68473204997979,3.9129117109086,3.6243623968736,3.58389944312017,3.45339080602339,3.88946581780189,3.57443017024992,3.66324437446624
26S protease regulatory subunit 6B,3.8297785362796,4.14707475102022,4.15560072169091,4.24096736519508,3.98754084451672,4.17432726185685,4.00513640169919,4.14922593942987,4.11667501970082,3.75967006604114,3.72172315038507,3.76733847522348,4.42818136069223,3.64147584358256,4.37876518503458,3.89239507220776,3.78974905781912,3.99806694466394,3.68130278647975,3.95512016640515,3.89348674858612,3.92371253256093,4.35892230653911,4.22847231980941,4.00171404409549,4.86545970128545,3.51764456822211,4.120030883094,3.3660177600138,4.13695799781153,4.14458922502165,4.60631678909599,3.96878424760598,3.63015265180575,4.18554710787066,4.98050588083773,3.21009764776225,4.41448338070028,4.54646744166034,3.59156247534055,3.37733478083294,3.18823375481057,4.61374941624035,4.50194348595819,3.46492830193097,4.15708315323533,4.19101949201355,4.26881490880694,4.33281902583419,3.69071096205903,3.63585956556141,3.6829177730157,4.13400898610889,3.69972367579505,4.05099379591747,3.71249864374664,4.18722106563626,3.83622904211582,3.74556311164064,3.6397161017988,3.5527892193667,3.93904370027922,3.87509629815629,3.57781345092509,4.32128362320882,3.96316240365208,3.70113395726935,3.63457731392105,4.34977231734052,3.90533188129414,3.68501262666095,3.88931377658861
