precursor,peptide,protein,class,group2/group1,group3/group1
70,70,70,2,2.65083230894511,-1.48526776012044
71,71,71,2,1.83083791401128,-2.34539519608527
72,72,72,2,1.62590972350676,-1.22366082872087
73,73,73,2,1.86761829932737,-2.29731339588267
74,74,74,2,1.97784869620962,-1.92656416995797
75,75,75,2,2.51963813151615,-1.44590744824611
76,76,76,2,1.28549421124034,-1.38824299141114
77,77,77,2,1.12340759436431,-1.48199941938291
78,78,78,2,1.52158518737456,-1.59774799490743
79,79,79,2,1.18026979905821,-1.33446276814962
80,80,80,2,1.35024720373292,-1.87428799173766
81,81,81,2,1.08598330392738,-1.08088485820285
82,82,82,2,2.0891817330148,-2.59561829971879
83,83,83,2,-1.34197506953224,0.88841024631224
84,84,84,2,-3.57540683913257,1.29846895652487
85,85,85,2,-1.47584872673667,2.30543974343398
86,86,86,2,-1.85677789828621,1.46564507841493
87,87,87,2,-1.7907126286205,2.09193109264351
88,88,88,2,-1.81583446214764,1.77432589660515
89,89,89,2,-1.48053326298913,0.969255697798826
90,90,90,2,-2.2949365142498,2.28848977341016
91,91,91,2,-2.45760667220143,1.40316078410353
92,92,92,2,-1.37545497637842,2.0069198543239
93,93,93,2,-2.48480725431807,1.4286327317104
94,94,94,2,-1.56195619759142,1.90349088414224
95,95,95,2,-1.39519474077962,1.67932244689139
96,96,96,2,-1.78680603897506,1.78391020645018
97,97,97,2,-2.14447956085875,2.64587832846883
98,98,98,2,-1.04063829113887,1.40330364475566
99,99,99,2,-2.31947769276312,-2.02268452958989
100,100,100,2,-2.11725940591307,-1.51835938447674
101,101,101,2,-2.18190276267634,-1.22342347113906
102,102,102,2,-1.35560640676836,-1.70948169427869
103,103,103,2,-1.78652430592543,-2.33465720350627
104,104,104,2,-1.31829528968713,-1.99192441668253
105,105,105,2,-1.95037829899013,-1.39931861285781
106,106,106,2,-1.43893589183708,-1.32493950191992
107,107,107,2,-1.6940933842278,-1.59910815227679
108,108,108,2,-2.42473107091446,-1.51924901714292
109,109,109,2,-1.79334527111273,-2.93807693455439
110,110,110,2,-2.99459507315052,-0.805235751626777
111,111,111,2,-2.3336157910908,-1.28250940286513
112,112,112,2,-1.58960366640251,-1.51252320807767
113,113,113,2,-2.00691393532141,-0.86199346309174
114,114,114,2,-1.26463838904737,-1.74221610756035
115,115,115,2,-1.75313560599201,-1.83622433334765
116,116,116,2,-1.28372577091938,-1.39753348072068
117,117,117,2,-1.68763038447834,-1.8124178191565
118,118,118,2,-1.61758309154034,-2.1907738647716
119,119,119,2,-1.32326109663208,-1.07230818420937
120,120,120,2,-1.50418593247085,-1.88348575785103
121,121,121,2,-1.09227954810855,-2.12123373942122
122,122,122,2,-2.22620796286034,-1.17297446242961
123,123,123,2,-1.17093742915611,-1.63510211487616
124,124,124,2,0,0
125,125,125,2,0,0
126,126,126,2,0,0
127,127,127,2,0,0
128,128,128,2,0,0
129,129,129,2,0,0
130,130,130,2,0,0
131,131,131,2,0,0
132,132,132,2,0,0
133,133,133,2,0,0
134,134,134,2,0,0
135,135,135,2,0,0
136,136,136,2,0,0
137,137,137,2,0,0
138,138,138,2,0,0
139,139,139,2,0,0
140,140,140,2,0,0
141,141,141,2,0,0
142,142,142,2,0,0
143,143,143,2,0,0
144,144,144,2,0,0
145,145,145,2,0,0
146,146,146,2,0,0
147,147,147,2,0,0
148,148,148,2,0,0
149,149,149,2,0,0
150,150,150,2,0,0
151,151,151,2,0,0
152,152,152,2,0,0
153,153,153,2,0,0
154,154,154,2,0,0
155,155,155,2,0,0
156,156,156,2,0,0
157,157,157,2,0,0
158,158,158,2,0,0
159,159,159,2,0,0
160,160,160,2,0,0
161,161,161,2,0,0
162,162,162,2,0,0
163,163,163,2,0,0
164,164,164,2,0,0
165,165,165,2,0,0
166,166,166,2,0,0
167,167,167,2,0,0
168,168,168,2,0,0
169,169,169,2,0,0
170,170,170,2,0,0
171,171,171,2,0,0
172,172,172,2,0,0
173,173,173,2,0,0
174,174,174,2,0,0
175,175,175,2,0,0
176,176,176,2,0,0
177,177,177,2,0,0
178,178,178,2,0,0
179,179,179,2,0,0
180,180,180,2,0,0
181,181,181,2,0,0
182,182,182,2,0,0
183,183,183,2,0,0
184,184,184,2,0,0
185,185,185,2,0,0
186,186,186,2,0,0
187,187,187,2,0,0
188,188,188,2,0,0
189,189,189,2,0,0
190,190,190,2,0,0
191,191,191,2,0,0
192,192,192,2,0,0
193,193,193,2,0,0
194,194,194,2,0,0
195,195,195,2,0,0
196,196,196,2,0,0
197,197,197,2,0,0
198,198,198,2,0,0
199,199,199,2,0,0
200,200,200,2,0,0
201,201,201,3,0,0
202,202,202,3,0,0
203,203,203,3,0,0
204,204,204,3,0,0
205,205,205,3,0,0
206,206,206,3,0,0
207,207,207,3,0,0
208,208,208,3,0,0
209,209,209,3,0,0
210,210,210,3,0,0
211,211,211,3,0,0
212,212,212,3,0,0
213,213,213,3,0,0
214,214,214,3,0,0
215,215,215,3,0,0
216,216,216,3,0,0
217,217,217,3,0,0
218,218,218,3,0,0
219,219,219,3,0,0
220,220,220,3,0,0
221,221,221,3,0,0
222,222,222,3,0,0
223,223,223,3,0,0
224,224,224,3,0,0
225,225,225,3,0,0
226,226,226,3,0,0
227,227,227,3,0,0
228,228,228,3,0,0
229,229,229,3,0,0
230,230,230,3,0,0
231,231,231,3,0,0
232,232,232,3,0,0
233,233,233,3,0,0
234,234,234,3,0,0
235,235,235,3,0,0
236,236,236,3,0,0
237,237,237,3,0,0
238,238,238,3,0,0
239,239,239,3,0,0
240,240,240,3,0,0
241,241,241,3,0,0
242,242,242,3,0,0
243,243,243,3,0,0
244,244,244,3,0,0
245,245,245,3,0,0
246,246,246,3,0,0
247,247,247,3,0,0
248,248,248,3,0,0
249,249,249,3,0,0
250,250,250,3,0,0
251,251,251,3,0,0
252,252,252,3,0,0
253,253,253,3,0,0
254,254,254,3,0,0
255,255,255,3,0,0
256,256,256,3,0,0
257,257,257,3,0,0
258,258,258,3,0,0
259,259,259,3,0,0
260,260,260,3,0,0
261,261,261,3,0,0
262,262,262,3,0,0
263,263,263,3,0,0
264,264,264,3,0,0
265,265,265,3,0,0
266,266,266,3,0,0
267,267,267,3,0,0
268,268,268,3,0,0
269,269,269,3,0,0
270,270,270,3,0,0
271,271,271,3,0,0
272,272,272,3,0,0
273,273,273,3,0,0
274,274,274,3,0,0
275,275,275,3,0,0
276,276,276,3,0,0
277,277,277,3,0,0
278,278,278,3,0,0
279,279,279,3,0,0
280,280,280,3,0,0
281,281,281,3,0,0
282,282,282,3,0,0
283,283,283,3,0,0
284,284,284,3,0,0
285,285,285,3,0,0
286,286,286,3,0,0
287,287,287,3,0,0
288,288,288,3,0,0
289,289,289,3,0,0
290,290,290,3,0,0
291,291,291,3,0,0
292,292,292,3,0,0
293,293,293,3,0,0
294,294,294,3,0,0
295,295,295,3,0,0
296,296,296,3,0,0
297,297,297,4,0,0
298,298,298,4,0,0
299,299,299,4,0,0
300,300,300,4,0,0
301,301,214,3,0,0
302,302,142,2,0,0
303,303,98,2,-1.04063829113887,1.40330364475566
304,304,93,2,-2.48480725431807,1.4286327317104
305,305,26,2,-1.87993094674353,0
306,306,260,3,0,0
307,307,288,3,0,0
308,308,193,2,0,0
309,309,187,2,0,0
310,310,275,3,0,0
311,311,291,3,0,0
312,312,192,2,0,0
313,313,97,2,-2.14447956085875,2.64587832846883
314,314,111,2,-2.3336157910908,-1.28250940286513
315,315,255,3,0,0
316,316,223,3,0,0
317,317,101,2,-2.18190276267634,-1.22342347113906
318,318,188,2,0,0
319,319,198,2,0,0
320,320,91,2,-2.45760667220143,1.40316078410353
321,321,204,3,0,0
322,322,199,2,0,0
323,323,170,2,0,0
324,324,191,2,0,0
325,325,285,3,0,0
326,326,144,2,0,0
327,327,169,2,0,0
328,328,141,2,0,0
329,329,169,2,0,0
330,330,182,2,0,0
331,331,214,3,0,0
332,332,50,2,0,-2.03867334919771
333,333,285,3,0,0
334,334,252,3,0,0
335,335,121,2,-1.09227954810855,-2.12123373942122
336,336,254,3,0,0
337,337,266,3,0,0
338,338,222,3,0,0
339,339,218,3,0,0
340,340,167,2,0,0
341,341,194,2,0,0
342,342,277,3,0,0
343,343,39,2,0,-1.16424131428944
344,344,160,2,0,0
345,345,209,3,0,0
346,346,184,2,0,0
347,347,125,2,0,0
348,348,290,3,0,0
349,349,267,3,0,0
350,350,39,2,0,-1.16424131428944
351,351,63,2,1.43748454374855,1.06672102868454
352,352,204,3,0,0
353,353,198,2,0,0
354,354,86,2,-1.85677789828621,1.46564507841493
355,355,266,3,0,0
356,356,275,3,0,0
357,357,71,2,1.83083791401128,-2.34539519608527
358,358,295,3,0,0
359,359,223,3,0,0
360,360,219,3,0,0
361,361,152,2,0,0
362,362,160,2,0,0
363,363,210,3,0,0
364,364,280,3,0,0
365,365,19,2,-1.59541485984077,0
366,366,112,2,-1.58960366640251,-1.51252320807767
367,367,288,3,0,0
368,368,298,4,0,0
369,369,188,2,0,0
370,370,292,3,0,0
371,371,219,3,0,0
372,372,280,3,0,0
373,373,246,3,0,0
374,374,295,3,0,0
375,375,164,2,0,0
376,376,41,2,0,-2.03883636817183
377,377,258,3,0,0
378,378,100,2,-2.11725940591307,-1.51835938447674
379,379,252,3,0,0
380,380,193,2,0,0
381,381,28,2,-1.03817275280696,0
382,382,62,2,1.67737446606243,1.36721481119709
383,383,236,3,0,0
384,384,3,2,1.43130217493197,0
385,385,228,3,0,0
386,386,112,2,-1.58960366640251,-1.51252320807767
387,387,27,2,-1.22958758017245,0
388,388,74,2,1.97784869620962,-1.92656416995797
389,389,88,2,-1.81583446214764,1.77432589660515
390,390,268,3,0,0
391,391,208,3,0,0
392,392,142,2,0,0
393,393,190,2,0,0
394,394,225,3,0,0
395,395,193,2,0,0
396,396,94,2,-1.56195619759142,1.90349088414224
397,397,82,2,2.0891817330148,-2.59561829971879
398,398,253,3,0,0
399,399,258,3,0,0
400,400,238,3,0,0
401,401,204,3,0,0
402,402,51,2,0,-1.75742601538763
403,403,184,2,0,0
404,404,203,3,0,0
405,405,37,2,0,-0.843471589795985
406,406,59,2,1.55920233969058,1.96137352386918
407,407,275,3,0,0
408,408,66,2,2.00197328748143,1.61086347544595
409,409,177,2,0,0
410,410,122,2,-2.22620796286034,-1.17297446242961
411,411,52,2,2.13038169877224,1.5635632821971
412,412,76,2,1.28549421124034,-1.38824299141114
413,413,128,2,0,0
414,414,150,2,0,0
415,415,190,2,0,0
416,416,180,2,0,0
417,417,284,3,0,0
418,418,29,2,-1.63830521623447,0
419,419,174,2,0,0
420,420,188,2,0,0
421,421,80,2,1.35024720373292,-1.87428799173766
422,422,139,2,0,0
423,423,259,3,0,0
424,424,107,2,-1.6940933842278,-1.59910815227679
425,425,225,3,0,0
426,426,137,2,0,0
427,427,152,2,0,0
428,428,217,3,0,0
429,429,194,2,0,0
430,430,247,3,0,0
431,431,72,2,1.62590972350676,-1.22366082872087
432,432,202,3,0,0
433,433,135,2,0,0
434,434,273,3,0,0
435,435,201,3,0,0
436,436,206,3,0,0
437,437,257,3,0,0
438,438,263,3,0,0
439,439,111,2,-2.3336157910908,-1.28250940286513
440,440,92,2,-1.37545497637842,2.0069198543239
441,441,287,3,0,0
442,442,260,3,0,0
443,443,246,3,0,0
444,444,189,2,0,0
445,445,244,3,0,0
446,446,222,3,0,0
447,447,131,2,0,0
448,448,97,2,-2.14447956085875,2.64587832846883
449,449,43,2,0,-3.04401974860585
450,450,22,2,-1.63375925890106,0
451,451,181,2,0,0
452,452,261,3,0,0
453,453,204,3,0,0
454,454,134,2,0,0
455,455,172,2,0,0
456,456,40,2,0,-1.16898104128702
457,457,104,2,-1.31829528968713,-1.99192441668253
458,458,265,3,0,0
459,459,247,3,0,0
460,460,294,3,0,0
461,461,291,3,0,0
462,462,177,2,0,0
463,463,43,2,0,-3.04401974860585
464,464,260,3,0,0
465,465,170,2,0,0
466,466,299,4,0,0
467,467,157,2,0,0
468,468,53,2,1.77346429257603,2.12765936968405
469,469,191,2,0,0
470,470,169,2,0,0
471,471,154,2,0,0
472,472,65,2,2.39826283891075,2.06259572204764
473,473,183,2,0,0
474,474,154,2,0,0
475,475,277,3,0,0
476,476,300,4,0,0
477,477,226,3,0,0
478,478,175,2,0,0
479,479,71,2,1.83083791401128,-2.34539519608527
480,480,135,2,0,0
481,481,299,4,0,0
482,482,281,3,0,0
483,483,124,2,0,0
484,484,269,3,0,0
485,485,184,2,0,0
486,486,268,3,0,0
487,487,109,2,-1.79334527111273,-2.93807693455439
488,488,204,3,0,0
489,489,200,2,0,0
490,490,58,2,2.01037811034488,1.08986359565718
491,491,23,2,-1.22748433573691,0
492,492,203,3,0,0
493,493,234,3,0,0
494,494,181,2,0,0
495,495,265,3,0,0
496,496,75,2,2.51963813151615,-1.44590744824611
497,497,266,3,0,0
498,498,71,2,1.83083791401128,-2.34539519608527
499,499,270,3,0,0
500,500,25,2,-1.36130917212331,0
501,501,73,2,1.86761829932737,-2.29731339588267
502,502,95,2,-1.39519474077962,1.67932244689139
503,503,211,3,0,0
504,504,146,2,0,0
505,505,279,3,0,0
506,506,22,2,-1.63375925890106,0
507,507,89,2,-1.48053326298913,0.969255697798826
508,508,151,2,0,0
509,509,210,3,0,0
510,510,37,2,0,-0.843471589795985
511,511,97,2,-2.14447956085875,2.64587832846883
512,512,254,3,0,0
513,513,76,2,1.28549421124034,-1.38824299141114
514,514,159,2,0,0
515,515,116,2,-1.28372577091938,-1.39753348072068
516,516,35,2,0,1.34999021764207
517,517,240,3,0,0
518,518,285,3,0,0
519,519,266,3,0,0
520,520,71,2,1.83083791401128,-2.34539519608527
521,521,236,3,0,0
522,522,25,2,-1.36130917212331,0
523,523,208,3,0,0
524,524,111,2,-2.3336157910908,-1.28250940286513
525,525,93,2,-2.48480725431807,1.4286327317104
526,526,42,2,0,-2.29993161062715
527,527,90,2,-2.2949365142498,2.28848977341016
528,528,32,2,0,1.65119084479716
529,529,61,2,1.38374994355563,1.17251634715637
530,530,123,2,-1.17093742915611,-1.63510211487616
531,531,176,2,0,0
532,532,77,2,1.12340759436431,-1.48199941938291
533,533,67,2,1.78677474343465,-1.93162163737053
534,534,284,3,0,0
535,535,157,2,0,0
536,536,54,2,1.66866275501064,0.901610919481883
537,537,149,2,0,0
538,538,95,2,-1.39519474077962,1.67932244689139
539,539,199,2,0,0
540,540,49,2,0,-0.930943200247806
541,541,297,4,0,0
542,542,39,2,0,-1.16424131428944
543,543,69,2,1.16491767924804,-1.50830820208594
544,544,54,2,1.66866275501064,0.901610919481883
545,545,170,2,0,0
546,546,190,2,0,0
547,547,91,2,-2.45760667220143,1.40316078410353
548,548,113,2,-2.00691393532141,-0.86199346309174
549,549,34,2,0,1.69452817331644
550,550,260,3,0,0
551,551,246,3,0,0
552,552,115,2,-1.75313560599201,-1.83622433334765
553,553,267,3,0,0
554,554,95,2,-1.39519474077962,1.67932244689139
555,555,155,2,0,0
556,556,119,2,-1.32326109663208,-1.07230818420937
557,557,105,2,-1.95037829899013,-1.39931861285781
558,558,165,2,0,0
559,559,245,3,0,0
560,560,65,2,2.39826283891075,2.06259572204764
561,561,92,2,-1.37545497637842,2.0069198543239
562,562,151,2,0,0
563,563,284,3,0,0
564,564,150,2,0,0
565,565,92,2,-1.37545497637842,2.0069198543239
566,566,244,3,0,0
567,567,208,3,0,0
568,568,82,2,2.0891817330148,-2.59561829971879
569,569,224,3,0,0
570,570,61,2,1.38374994355563,1.17251634715637
571,571,29,2,-1.63830521623447,0
572,572,266,3,0,0
573,573,171,2,0,0
574,574,196,2,0,0
575,575,237,3,0,0
576,576,127,2,0,0
577,577,50,2,0,-2.03867334919771
578,578,142,2,0,0
579,579,24,2,-1.60567893592252,0
580,580,150,2,0,0
581,581,4,2,1.64793763597146,0
582,582,96,2,-1.78680603897506,1.78391020645018
583,583,272,3,0,0
584,584,260,3,0,0
585,585,250,3,0,0
586,586,91,2,-2.45760667220143,1.40316078410353
587,587,117,2,-1.68763038447834,-1.8124178191565
588,588,4,2,1.64793763597146,0
589,589,183,2,0,0
590,590,40,2,0,-1.16898104128702
591,591,69,2,1.16491767924804,-1.50830820208594
592,592,48,2,0,-1.49524318657839
593,593,219,3,0,0
594,594,230,3,0,0
595,595,105,2,-1.95037829899013,-1.39931861285781
596,596,55,2,3.33579184515924,1.34940152255717
597,597,142,2,0,0
598,598,142,2,0,0
599,599,172,2,0,0
600,600,177,2,0,0
601,601,155,2,0,0
602,602,44,2,0,-1.08296961248329
603,603,104,2,-1.31829528968713,-1.99192441668253
604,604,277,3,0,0
605,605,277,3,0,0
606,606,189,2,0,0
607,607,38,2,0,-2.23972742987847
608,608,76,2,1.28549421124034,-1.38824299141114
609,609,198,2,0,0
610,610,250,3,0,0
611,611,24,2,-1.60567893592252,0
612,612,239,3,0,0
613,613,210,3,0,0
614,614,237,3,0,0
615,615,241,3,0,0
616,616,129,2,0,0
617,617,141,2,0,0
618,618,11,2,1.01024764168585,0
619,619,210,3,0,0
620,620,239,3,0,0
621,621,180,2,0,0
622,622,84,2,-3.57540683913257,1.29846895652487
623,623,138,2,0,0
624,624,164,2,0,0
625,625,47,2,0,-1.93707656530528
626,626,249,3,0,0
627,627,144,2,0,0
628,628,287,3,0,0
629,629,113,2,-2.00691393532141,-0.86199346309174
630,630,47,2,0,-1.93707656530528
631,631,284,3,0,0
632,632,296,3,0,0
633,633,250,3,0,0
634,634,66,2,2.00197328748143,1.61086347544595
635,635,129,2,0,0
636,636,118,2,-1.61758309154034,-2.1907738647716
637,637,203,3,0,0
638,638,252,3,0,0
639,639,127,2,0,0
640,640,191,2,0,0
641,641,162,2,0,0
642,642,39,2,0,-1.16424131428944
643,643,100,2,-2.11725940591307,-1.51835938447674
644,644,86,2,-1.85677789828621,1.46564507841493
645,645,101,2,-2.18190276267634,-1.22342347113906
646,646,266,3,0,0
647,647,130,2,0,0
648,648,263,3,0,0
649,649,189,2,0,0
650,650,292,3,0,0
651,651,35,2,0,1.34999021764207
652,652,129,2,0,0
653,653,192,2,0,0
654,654,268,3,0,0
655,655,234,3,0,0
656,656,103,2,-1.78652430592543,-2.33465720350627
657,657,79,2,1.18026979905821,-1.33446276814962
658,658,155,2,0,0
659,659,71,2,1.83083791401128,-2.34539519608527
660,660,79,2,1.18026979905821,-1.33446276814962
661,661,261,3,0,0
662,662,260,3,0,0
663,663,223,3,0,0
664,664,64,2,1.18204013468859,1.05070465780599
665,665,235,3,0,0
666,666,195,2,0,0
667,667,202,3,0,0
668,668,168,2,0,0
669,669,70,2,2.65083230894511,-1.48526776012044
670,670,269,3,0,0
671,671,53,2,1.77346429257603,2.12765936968405
672,672,175,2,0,0
673,673,241,3,0,0
674,674,257,3,0,0
675,675,246,3,0,0
676,676,163,2,0,0
677,677,245,3,0,0
678,678,60,2,1.49379449962572,2.23382338633635
679,679,300,4,0,0
680,680,129,2,0,0
681,681,76,2,1.28549421124034,-1.38824299141114
682,682,89,2,-1.48053326298913,0.969255697798826
683,683,194,2,0,0
684,684,275,3,0,0
685,685,86,2,-1.85677789828621,1.46564507841493
686,686,185,2,0,0
687,687,188,2,0,0
688,688,199,2,0,0
689,689,202,3,0,0
690,690,275,3,0,0
691,691,270,3,0,0
692,692,191,2,0,0
693,693,87,2,-1.7907126286205,2.09193109264351
694,694,126,2,0,0
695,695,114,2,-1.26463838904737,-1.74221610756035
696,696,30,2,-2.42591491157008,0
697,697,132,2,0,0
698,698,214,3,0,0
699,699,117,2,-1.68763038447834,-1.8124178191565
700,700,276,3,0,0
701,701,60,2,1.49379449962572,2.23382338633635
702,702,154,2,0,0
703,703,172,2,0,0
704,704,201,3,0,0
705,705,19,2,-1.59541485984077,0
706,706,60,2,1.49379449962572,2.23382338633635
707,707,60,2,1.49379449962572,2.23382338633635
708,708,230,3,0,0
709,709,101,2,-2.18190276267634,-1.22342347113906
710,710,20,2,-1.19562206597036,0
711,711,300,4,0,0
712,712,226,3,0,0
713,713,145,2,0,0
714,714,292,3,0,0
715,715,80,2,1.35024720373292,-1.87428799173766
716,716,161,2,0,0
717,717,219,3,0,0
718,718,115,2,-1.75313560599201,-1.83622433334765
719,719,173,2,0,0
720,720,150,2,0,0
721,721,161,2,0,0
722,722,245,3,0,0
723,723,28,2,-1.03817275280696,0
724,724,75,2,2.51963813151615,-1.44590744824611
725,725,102,2,-1.35560640676836,-1.70948169427869
726,726,186,2,0,0
727,727,175,2,0,0
728,728,193,2,0,0
729,729,266,3,0,0
730,730,46,2,0,-1.76799708743673
731,731,166,2,0,0
732,732,142,2,0,0
733,733,240,3,0,0
734,734,26,2,-1.87993094674353,0
735,735,21,2,-0.734188121768956,0
736,736,263,3,0,0
737,737,143,2,0,0
738,738,137,2,0,0
739,739,196,2,0,0
740,740,21,2,-0.734188121768956,0
741,741,194,2,0,0
742,742,217,3,0,0
743,743,205,3,0,0
744,744,93,2,-2.48480725431807,1.4286327317104
745,745,81,2,1.08598330392738,-1.08088485820285
746,746,9,2,1.58411473380147,0
747,747,38,2,0,-2.23972742987847
748,748,269,3,0,0
749,749,164,2,0,0
750,750,170,2,0,0
751,751,115,2,-1.75313560599201,-1.83622433334765
752,752,8,2,0.985511411068618,0
753,753,14,2,2.11539862221373,0
754,754,60,2,1.49379449962572,2.23382338633635
755,755,143,2,0,0
756,756,157,2,0,0
757,757,103,2,-1.78652430592543,-2.33465720350627
758,758,103,2,-1.78652430592543,-2.33465720350627
759,759,226,3,0,0
760,760,83,2,-1.34197506953224,0.88841024631224
761,761,215,3,0,0
762,762,57,2,1.90205968676218,2.76709506340869
763,763,95,2,-1.39519474077962,1.67932244689139
764,764,132,2,0,0
765,765,181,2,0,0
766,766,238,3,0,0
767,767,10,2,1.33454836396146,0
768,768,202,3,0,0
769,769,36,2,0,1.75747897159647
770,770,131,2,0,0
771,771,69,2,1.16491767924804,-1.50830820208594
772,772,196,2,0,0
773,773,188,2,0,0
774,774,256,3,0,0
775,775,25,2,-1.36130917212331,0
776,776,29,2,-1.63830521623447,0
777,777,192,2,0,0
778,778,211,3,0,0
779,779,186,2,0,0
780,780,157,2,0,0
781,781,142,2,0,0
782,782,236,3,0,0
783,783,23,2,-1.22748433573691,0
784,784,293,3,0,0
785,785,155,2,0,0
786,786,162,2,0,0
787,787,32,2,0,1.65119084479716
788,788,249,3,0,0
789,789,268,3,0,0
790,790,252,3,0,0
791,791,159,2,0,0
792,792,155,2,0,0
793,793,15,2,1.75304196166091,0
794,794,222,3,0,0
795,795,206,3,0,0
796,796,52,2,2.13038169877224,1.5635632821971
797,797,196,2,0,0
798,798,119,2,-1.32326109663208,-1.07230818420937
799,799,285,3,0,0
800,800,264,3,0,0
801,801,34,2,0,1.69452817331644
802,802,168,2,0,0
803,803,242,3,0,0
804,804,35,2,0,1.34999021764207
805,805,32,2,0,1.65119084479716
806,806,99,2,-2.31947769276312,-2.02268452958989
807,807,231,3,0,0
808,808,146,2,0,0
809,809,44,2,0,-1.08296961248329
810,810,39,2,0,-1.16424131428944
811,811,27,2,-1.22958758017245,0
812,812,108,2,-2.42473107091446,-1.51924901714292
813,813,199,2,0,0
814,814,270,3,0,0
815,815,199,2,0,0
816,816,73,2,1.86761829932737,-2.29731339588267
817,817,66,2,2.00197328748143,1.61086347544595
818,818,193,2,0,0
819,819,108,2,-2.42473107091446,-1.51924901714292
820,820,286,3,0,0
821,821,109,2,-1.79334527111273,-2.93807693455439
822,822,42,2,0,-2.29993161062715
823,823,64,2,1.18204013468859,1.05070465780599
824,824,208,3,0,0
825,825,73,2,1.86761829932737,-2.29731339588267
826,826,175,2,0,0
827,827,147,2,0,0
828,828,170,2,0,0
829,829,41,2,0,-2.03883636817183
830,830,31,2,0,2.38788599616315
831,831,249,3,0,0
832,832,232,3,0,0
833,833,6,2,1.61655601660842,0
834,834,262,3,0,0
835,835,189,2,0,0
836,836,47,2,0,-1.93707656530528
837,837,272,3,0,0
838,838,7,2,1.4279963099281,0
839,839,194,2,0,0
840,840,285,3,0,0
841,841,69,2,1.16491767924804,-1.50830820208594
842,842,248,3,0,0
843,843,38,2,0,-2.23972742987847
844,844,102,2,-1.35560640676836,-1.70948169427869
845,845,84,2,-3.57540683913257,1.29846895652487
846,846,275,3,0,0
847,847,3,2,1.43130217493197,0
848,848,239,3,0,0
849,849,289,3,0,0
850,850,189,2,0,0
851,851,97,2,-2.14447956085875,2.64587832846883
852,852,103,2,-1.78652430592543,-2.33465720350627
853,853,38,2,0,-2.23972742987847
854,854,292,3,0,0
855,855,195,2,0,0
856,856,208,3,0,0
857,857,247,3,0,0
858,858,35,2,0,1.34999021764207
859,859,251,3,0,0
860,860,220,3,0,0
861,861,20,2,-1.19562206597036,0
862,862,112,2,-1.58960366640251,-1.51252320807767
863,863,248,3,0,0
864,864,75,2,2.51963813151615,-1.44590744824611
865,865,8,2,0.985511411068618,0
866,866,160,2,0,0
867,867,283,3,0,0
868,868,129,2,0,0
869,869,173,2,0,0
