run_id,mode,lab,batch,sample,tube,order,raw_file
DDA_NVG_D5_3,DDA,NVG,DDA_NVG,D5,3,9,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D5_3
DDA_NVG_D6_3,DDA,NVG,DDA_NVG,D6,3,10,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_3
DDA_NVG_F7_3,DDA,NVG,DDA_NVG,F7,3,11,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_F7_3
DDA_NVG_M8_3,DDA,NVG,DDA_NVG,M8,3,12,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_3
DIA_APT_D5_1,DIA,APT,DIA_APT,D5,1,1,Exp083376_P20200701388_F1_R1
DIA_APT_D6_1,DIA,APT,DIA_APT,D6,1,2,Exp083377_P20200701388_F1_R1
DIA_APT_F7_1,DIA,APT,DIA_APT,F7,1,3,Exp083378_P20200701388_F1_R1
DIA_APT_M8_1,DIA,APT,DIA_APT,M8,1,4,Exp083379_P20200701388_F1_R1
DIA_APT_D5_2,DIA,APT,DIA_APT,D5,2,5,Exp083380_P20200701388_F1_R1
DIA_APT_D6_2,DIA,APT,DIA_APT,D6,2,6,Exp083381_P20200701388_F1_R1
DIA_APT_F7_2,DIA,APT,DIA_APT,F7,2,7,Exp083382_P20200701388_F1_R1
DIA_APT_M8_2,DIA,APT,DIA_APT,M8,2,8,Exp083383_P20200701388_F1_R1
DIA_APT_D5_3,DIA,APT,DIA_APT,D5,3,9,Exp083384_P20200701388_F1_R1
DIA_APT_D6_3,DIA,APT,DIA_APT,D6,3,10,Exp083385_P20200701388_F1_R1
DIA_APT_F7_3,DIA,APT,DIA_APT,F7,3,11,Exp083386_P20200701388_F1_R1
DIA_APT_M8_3,DIA,APT,DIA_APT,M8,3,12,Exp083387_P20200701388_F1_R1
DIA_BGI_D5_1,DIA,BGI,DIA_BGI,D5,1,1,20P05390001
DIA_BGI_D6_1,DIA,BGI,DIA_BGI,D6,1,2,20P05390002
DIA_BGI_F7_1,DIA,BGI,DIA_BGI,F7,1,3,20P05390003
DIA_BGI_M8_1,DIA,BGI,DIA_BGI,M8,1,4,20P05390004
DIA_BGI_D5_2,DIA,BGI,DIA_BGI,D5,2,5,20P05390005
DIA_BGI_D6_2,DIA,BGI,DIA_BGI,D6,2,6,20P05390006
DIA_BGI_F7_2,DIA,BGI,DIA_BGI,F7,2,7,20P05390007
DIA_BGI_M8_2,DIA,BGI,DIA_BGI,M8,2,8,20P05390008
DIA_BGI_D5_3,DIA,BGI,DIA_BGI,D5,3,9,20P05390009
DIA_BGI_D6_3,DIA,BGI,DIA_BGI,D6,3,10,20P05390010
DIA_BGI_F7_3,DIA,BGI,DIA_BGI,F7,3,11,20P05390011
DIA_BGI_M8_3,DIA,BGI,DIA_BGI,M8,3,12,20P05390012
DIA_FDU_D5_1,DIA,FDU,DIA_FDU,D5,1,1,Lumos01905_XM_SLM-20200706-DIA_1
DIA_FDU_D6_1,DIA,FDU,DIA_FDU,D6,1,2,Lumos01906_XM_SLM-20200706-DIA_2
DIA_FDU_F7_1,DIA,FDU,DIA_FDU,F7,1,3,Lumos01907_XM_SLM-20200706-DIA_3
DIA_FDU_M8_1,DIA,FDU,DIA_FDU,M8,1,4,Lumos01908_XM_SLM-20200706-DIA_4
DIA_FDU_D5_2,DIA,FDU,DIA_FDU,D5,2,5,Lumos01909_XM_SLM-20200706-DIA_5
DIA_FDU_D6_2,DIA,FDU,DIA_FDU,D6,2,6,Lumos01910_XM_SLM-20200706-DIA_6
DIA_FDU_F7_2,DIA,FDU,DIA_FDU,F7,2,7,Lumos01911_XM_SLM-20200706-DIA_7
DIA_FDU_M8_2,DIA,FDU,DIA_FDU,M8,2,8,Lumos01912_XM_SLM-20200706-DIA_8
DIA_FDU_D5_3,DIA,FDU,DIA_FDU,D5,3,9,Lumos01913_XM_SLM-20200706-DIA_9
DIA_FDU_D6_3,DIA,FDU,DIA_FDU,D6,3,10,Lumos01914_XM_SLM-20200706-DIA_10
DIA_FDU_F7_3,DIA,FDU,DIA_FDU,F7,3,11,Lumos01915_XM_SLM-20200706-DIA_11
DIA_FDU_M8_3,DIA,FDU,DIA_FDU,M8,3,12,Lumos01916_XM_SLM-20200706-DIA_12
